K2 ID,Campaign,Object type,RA (J2000),Dec (J2000),Target Type,Investigation ID,KEP Mag,Kep Flag,Module,Output,Channel
integer,integer,substring,ra,dec,ustring,string,float,string,integer,integer,integer
210583014,4,STAR,03 35 17.801,+16 42 56.51,LC,GO4007_GO4020_GO4029_GO4033_GO4060_GO4104,10.502,gri,23,1,77
210583110,4,STAR,03 31 26.508,+16 43 02.18,LC,GO4020,13.153,gri,23,4,80
210583420,4,STAR,03 32 08.873,+16 43 20.18,LC,GO4020_GO4104,11.507,gri,23,4,80
210583505,4,STAR,03 33 55.580,+16 43 24.65,LC,GO4020_GO4089,12.879,gri,23,1,77
210583506,4,STAR,03 34 07.658,+16 43 24.78,LC,GO4007_GO4029_GO4033,12.725,gri,23,1,77
210583548,4,STAR,03 35 50.309,+16 43 26.12,LC,GO4007_GO4011_GO4060,14.863,gri,23,1,77
210583826,4,STAR,03 44 47.490,+16 43 41.21,LC,GO4020,12.542,gri,18,3,63
210584075,4,STAR,04 01 12.749,+16 43 56.36,LC,GO4006_GO4011_GO4097,15.271,JHK,12,2,38
210584078,4,STAR,03 47 06.414,+16 43 56.42,LC,GO4020,12.554,gri,18,2,62
210584156,4,STAR,03 33 08.305,+16 44 00.37,LC,GO4020_GO4060_GO4083,14.600,BV,23,4,80
210584167,4,STAR,03 38 20.749,+16 44 00.70,LC,GO4006_GO4011_GO4020_GO4097,14.004,gri,23,1,77
210584199,4,STAR,03 58 57.680,+16 44 03.20,LC,GO4020_GO4102,10.604,gri,12,1,37
210584219,4,STAR,04 01 48.407,+16 44 04.07,LC,GO4007_GO4029_GO4033,12.746,gri,12,2,38
210584294,4,STAR,03 33 07.621,+16 44 07.37,LC,GO4007_GO4020_GO4083,14.377,BV,23,4,80
210584324,4,STAR,03 37 01.268,+16 44 09.01,LC,GO4007_GO4029_GO4033_GO4060_GO4104,10.291,gri,23,1,77
210584413,4,STAR,03 44 39.998,+16 44 13.57,LC,GO4007_GO4029_GO4033_GO4060,11.410,gri,18,3,63
210584420,4,STAR,04 00 44.161,+16 44 13.72,LC,GO4007_GO4029_GO4033_GO4060,12.145,gri,12,2,38
210584462,4,STAR,04 04 08.018,+16 44 15.84,LC,GO4007_GO4020_GO4060,14.053,gri,12,2,38
210584481,4,STAR,03 46 10.697,+16 44 16.93,LC,GO4006_GO4020_GO4060,14.428,gri,18,3,63
210584678,4,STAR,03 42 59.598,+16 44 27.70,LC,GO4007_GO4029_GO4033,12.545,gri,18,3,63
210584768,4,STAR,03 33 06.624,+16 44 32.22,LC,GO4006_GO4020_GO4054_GO4060,13.372,gri,23,4,80
210584974,4,STAR,04 00 27.169,+16 44 42.88,LC,GO4007_GO4029_GO4033,12.486,gri,12,2,38
